dist_name_new_2010,samiti_name_new_2010,gp_new_2010,lgd_block_code,lgd_block_name,lgd_gp_code,lgd_gp_name,match_type
ajmer,MASUDA,loolwa,1154,Masooda,33769,Loolwa,exact
alwar,LAXMANGARH,mojpur,1162,Laxmangarh,34051,Mojpur,exact
banswara,GHATOL,jagpura,1175,Ghatol,294683,Kanpura,fuzzy
barmer,BALOTRA,muli ki dhani,1186,Balotra,295336,Sursingh Ki Dhani,fuzzy
barmer,BARMER,meethda,1187,Barmer,34960,Meethra,fuzzy
barmer,BARMER,setrau,1187,Barmer,34960,Meethra,fuzzy
barmer,CHOHTAN,chohtan,1189,Chohtan,295534,Chohtan Aagor,fuzzy
barmer,SINDHARI,bandh,1192,Sindhari,295443,Bandanada,fuzzy
bharatpur,SEWAR,jaghina,1201,Sewar,35558,Jaghina,exact
bhilwara,RAIPUR,raipur,1210,Raipur,35892,Raipur,exact
bundi,HINDOLI,hindoli,1219,Hindoli,36232,Hindoli,exact
dungarpur,BICHHIWARA,aamjhara,1253,Bichiwara,37457,Amajara,fuzzy
dungarpur,BICHHIWARA,charwada,1253,Bichiwara,37465,Chundawara,fuzzy
dungarpur,BICHHIWARA,chundawada,1253,Bichiwara,37465,Chundawara,fuzzy
dungarpur,BICHHIWARA,gamdi aahada,1253,Bichiwara,37457,Amajara,fuzzy
dungarpur,BICHHIWARA,gandhava,1253,Bichiwara,37465,Chundawara,fuzzy
dungarpur,SIMALWARA,gundlara,1256,Simalwara,294837,Upla Rasta,fuzzy
ganganagar,SADULSHAHAR,dungarsinghpura,1262,Sadulshahar,37905,Dungarsinghpura,exact
ganganagar,SADULSHAHAR,lalgarh jatan,1262,Sadulshahar,37914,Lalgarh Jatan,exact
jaipur,KOTPUTLI,dwarkapura,1274,Kotputli,38515,Kanwarpura,fuzzy
jaipur,KOTPUTLI,kavarpura,1274,Kotputli,38515,Kanwarpura,fuzzy
jaipur,KOTPUTLI,sundarpuradhada,1274,Kotputli,38515,Kanwarpura,fuzzy
jalore,RANIWARA,ranivada kala,1287,Raniwara,38987,Raniwara Kalan,fuzzy
jhunjhunu,UDAIPURWATI,guda,1303,Udaipurwati,39582,Guda,exact
jhunjhunu,UDAIPURWATI,gudha gorji,1303,Udaipurwati,39583,Gudha Gorji,exact
jhunjhunu,UDAIPURWATI,ponkh,1303,Udaipurwati,39598,Ponkh,exact
jodhpur,BALESAR,balesar durgavata,1304,Balesar,39606,Balesar Durgawata,fuzzy
jodhpur,BALESAR,balesar satta,1304,Balesar,39606,Balesar Durgawata,fuzzy
jodhpur,BAP,jaisla,1305,Bap,294923,Jaitrasar,fuzzy
jodhpur,LUNI,luni,1308,Luni,39775,Luni,exact
jodhpur,OSIAN,ekalkhori,1310,Osian,39842,Ekalkhori,exact
jodhpur,OSIAN,raymalwada,1310,Osian,262509,Ramnagar,fuzzy
jodhpur,OSIAN,samrau,1310,Osian,39878,Samrau,exact
karauli,HINDAUN,jagar,1313,Hindaun,39974,Jagar,exact
karauli,HINDAUN,kotri,1313,Hindaun,294200,Kotwas,fuzzy
pratapgarh,PEEPALKHOONT,dunglavani,1177,Peepal Khoont,34599,Dunglawani,fuzzy
sikar,PIPRALI,harsh,1362,Piprali,262155,Dharamshala,fuzzy
sikar,PIPRALI,radha kishanpura,1362,Piprali,262155,Dharamshala,fuzzy
sirohi,SIROHI,jawal,1368,Sirohi,41977,Jawal,exact
udaipur,SARADA,sarada,1385,Sarada,42717,Sarada,exact
